Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
DS,2/Jan/2024,Jan 2024,Data Science,JCJC+,2,Jan,2024,26,33,Yogyakarta, Yogyakarta, Yogyakarta,Yogyakarta,Indonesia,Sekolah Tinggi Ilmu Ekonomi Papua (S1) dan UPN Veteran Yogyakarta (S2),STIE Papua,Middle,Akuntansi,Akuntansi,Manajemen,Job Seeker,Job seeker,Low,Job Seeker,Pengajar di Papua selama 2 tahun,belajar bahasa inggris dan belajar science,,memiliki presepsi jika data science itu membutuhkan ketelitian data sedangkan jurusan sebelumnya adalah akuntansi dan manajemen dan sama-sama teliti jadi pasti bisa jika belajar data science dan ingin kerja di bidang science dan dibimbing ini ada job connector,Instagram,Instagram,"Job Connector dan kualitas dari Dibimbing, serta fasilitasnya","Job Connector dan kualitas dari Dibimbing, serta fasilitasnya",,Tertarik,,-,Tidak,,-
DE,2/Jan/2024,Jan 2024,Data Engineering,CAJC,2,Jan,2024,4,24,Jakarta Barat,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Bung Karno,Universitas Bung Karno,Middle,Sistem Informasi,Sistem Informasi,,PNS (Bekerja sebagai penjaga tahanan ),Pekerja,Middle,PNS,-,futsal,,motivasi mengikuti bootcamp sata engineering karena sallarynya lumayan dan untuk belajar ilmu coding  tidak terlalu susah dan sistem kerjanya kebanyakan kalau dilihat kebanyakan hybrid,Instagram,Instagram,"Karena harga affordable, waktunya tidak mengganggu pekerjaannya karena di weeekend ","Karena harga affordable, waktunya tidak mengganggu pekerjaannya karena di weeekend ",,,Tidak,,Tidak,Pernah mengikuti Bootcamp di Altera Academy untuk Data Engineering,
PMPM,2/Jan/2024,Jan 2024,Product Management,JCJC+,2,Jan,2024,9,27,Jakarta Selatan,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Negeri Sankt Peterburg (Rusia),Universitas Negeri Sankt Peterburg,High,Hubungan Internasional,Hubungan Internasional,-,Bekerja (Bussiness Developper),Pekerja,Middle,Karyawan Swasta,,Olahraga (Bela diri),,,Google,Google Ads,Kurikulum di Dibimbing paling sesuai dan harganya affordable dan kualitas nya paling okee,Kurikulum di Dibimbing paling sesuai dan harganya affordable dan kualitas nya paling okee,,tertarik,Tidak,Tidak,Tidak,,
DM,2/Jan/2024,Jan 2024,Digital Marketing,JCJC+,2,Jan,2024,23,29,Balikpapan,Bali,Bali,Bali,Indonesia,Universitas Telkom,Universitas Telkom (Tel-U),Middle,,,-,Bekerja,Pekerja,Middle,Karyawan (di anak perusahaan PLN yaitu PLN Nusadaya posisi perencanaan pemasaran),-,Olahraga,,pengen switch career di Digital Marketing karena lebih luas dan peluangnya lebih banyak tenaganya dan peluang kerjanya lebih besar apalagi di Dibimbing ada job connector dan rencana ingin pindah domisili dari Balikpapan ke Jawa (Semarang),Instagram,Instagram,"Dari sisi silabus materinya lengkap, harganya affordable dan websitenya informatif dan melihat dari alumni bootcamp di Dibimbing dan lebih pas dengan Dibimbing","Dari sisi silabus materinya lengkap, harganya affordable dan websitenya informatif dan melihat dari alumni bootcamp di Dibimbing dan lebih pas dengan Dibimbing",,Tertarik,Tidak,Tidak,Pernah (mentortalks tahun 2023),-,-
UIUX,3/Jan/2024,Jan 2024,UI/UX,JCJC+,3,Jan,2024,24,24,Boyolali, Boyolali, Boyolali,Jawa Tengah,Indonesia,Universitas Amikom Yogyakarta,Universitas Amikom Yogyakarta,Middle,Sistem Informasi,Sistem Informasi,-,Bekerja,Pekerja,Low,Freelance (Karadividia Yoyakarta sebagai Noteker),-,-,,karena sebelumnya sudah pegang UX Designer sehingga memiliki rasa kepuasan tersendiri dan dengan mengikuti bootcamp nanti akan ada challenging tersendiri karena akan di kasih case lebih tepatnya ingin memperdalam terkait UI UX dan ingin mencari pekerjaan yang selinier dengan UI UX,Referral,Refferal,"di Linkedin dan di CV diperbarui sehingga dapat mengupdate di Linkedin melalui case yang dikerjakan di Dibimbing, dapat penyaluran kerja dari Dibimbing dan dari Linkedin ","di Linkedin dan di CV diperbarui sehingga dapat mengupdate di Linkedin melalui case yang dikerjakan di Dibimbing, dapat penyaluran kerja dari Dibimbing dan dari Linkedin ",,Tertarik,,Tidak,Tidak,Pernah mengikuti Intern di rakaming dan bekerja di Seven Smart sebagai UX Designer,
DM,3/Jan/2024,Jan 2024,Digital Marketing,JCJC+,3,Jan,2024,23,24,,,,,,UB,Universitas Brawijaya (UB),High,,,,Freelance graphic desginer,Pekerja,Low,Graphic Designer,-,Desain,,Memperdalam skill mengenai digital marketing tidak hanya sebatas belajar secara mandiri aja tapi ada pendampingan. Selain itu harapan dengan punya ilmu ini bisa mengembangkan bisnis (FnB),Google,Google Ads,"Customer care, fasilitas (job connector), materi belajar","Customer care, fasilitas (job connector), materi belajar",,Tertarik,Tidak,Tidak,Ya,Interpro,
DM,3/Jan/2024,Jan 2024,Digital Marketing,JCJC+,3,Jan,2024,23,29,Bali,Bali,Bali,Bali,Indonesia,SMK,SMK,Low,,,,Bekerja  marketing ,Pekerja,Middle,Bekerja  marketing di toko offline dan online ecommers perusahaan Essencial Photography,-,Nonton Drakor,,Ingin memperdalam skill digital marketing dan ingin membantu perusahaan untuk grow up dan supaya dapat mengejar target yang telah ditetapkan perusahaan,Instagram,Instagram,Dibimbing lebih proper daripada yang lain dan menurut analisinya dibimbing lebih baik,Dibimbing lebih proper daripada yang lain dan menurut analisinya dibimbing lebih baik,,Tertarik,Tidak,Tidak,Tidak,-,
BI,4/Jan/2024,Jan 2024,Business Intelligence,CAJC,4,Jan,2024,9,22,Bekasi,Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Jember,Universitas Jember,Middle,Fisik Murni,Fisika,,Kuliah Semester 7,Mahasiswa,Low,Mahasiswa,,Coding ,,Dari semester 3 mulai tertarik untuk belajar mengenai data (tau dari revou -> data analyst dan digital marketing). Tapi memang ketertarikannya lebih ke bidang datanya jadi ingin memperdalamnya lebih ke business intelligence (karena bisnis juga bisa dilihat dari sisi data yang lebih mendukung). Ada rencana untuk melanjutkan kuliah S2 di Business Intelligence,LinekdIn,Linkedin,"Revou (case study kurang worth it). Real case study, materi belajar","Revou (case study kurang worth it). Real case study, materi belajar",,-,Tidak,Tidak,Ya,DSF BI,
FE,4/Jan/2024,Jan 2024,Web Development (FE),JCJC+,4,Jan,2024,17,22,Surakarta (Solo),Solo,Solo,Jawa Tengah,Indonesia,ITS PKU (Solo),Institut Teknologi Sepuluh Nopember (ITS),Middle,Keperawatan,Keperawatan,,Job Seeker,Job seeker,Low,Job Seeker,-,Game,,Waktu kuliah semester 3 ada matkul pengebangan aplikasi rumah sakit dalam mengembangkan askep nya lalu dari hal tsb tertarik untuk mempelajari aplikaisi tsb jadi setelah lulus kuliah langsung ingin mengikuti bootcamp di bidang Web Development ,Google,Google Ads,Melihat testimoni nya bagus-bagus melalui google dan Instagram,Melihat testimoni nya bagus-bagus melalui google dan Instagram,,Tertarik,Tidak,Tidak',Tidak,-,-
FE,4/Jan/2024,Jan 2024,Web Development (FE),JCJC+,4,Jan,2024,17,24,Klaten, Klaten, Klaten,Jawa Tengah,Indonesia,UIN Surakarta,Universitas Indonesia (UI),Middle,Hukum Keluarga Islam,Hukum,,Job Seeker,Job seeker,Low,Job Seeker,Magang Kemenag dan KUA (progam dari Kampus),,,Ingin memperdalam bahasa pemrograman dan meningkatkan skill di bidang IT. Jadi ingin punya pekerjaan yang bisa dilakukan secara remote,Google,Google Ads,"Harga affordable, jadwal pembelajaran (sabtu dan minggu)","Harga affordable, jadwal pembelajaran (sabtu dan minggu)",,Tertarik,Tidak,Tidak,Tidak,,
ML,4/Jan/2024,Jan 2024,AI Machine Learning,CAJC,4,Jan,2024,2,40,Jakarta ,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Trisakti,Universitas Trisakti,Middle,Hukum,Hukum,UNJ Krida (Manajemen),Bekerja,Pekerja,High,Karyawan Swasta,-,-,,Ingin mengikuti perkembangan digital,Youtube,Youtube,Silabus,Silabus,,-,-,,Pernah (Alumni data Science),silabus ada materi yang machine learning yang advance itu menarik dan juga materi deep learning menarik,-
DM,4/Jan/2024,Jan 2024,Digital Marketing,JCJC+,4,Jan,2024,23+,28,Tangerang Selatan,Tangerang,Jabodetabek,Banten,Indonesia,Binus,Binus University,High,,,,Bisnis di bidang Suplemen Makanan Kesehatan ,Usaha,Middle,Wiraswasta,Marketing Communication (1 tahun),Traveling,,Ingin kembali bekerja di bidang digital marekting sedangkan untuk saat ini hanya berbisnis saja jadi ingin membangun portfolio dan sertifikat supaya bisa mendukung untuk apply pekerjaan lagi,Instagram,Instagram,Job connector,Job connector,,Tertarik (consultant),Tidak,Tidak,Tidak,,
DM,4/Jan/2024,Jan 2024,Digital Marketing,JCJC+,4,Jan,2024,23,27,Bandung, Bandung, Bandung,Jawa Barat,Indonesia,Unjani,Universitas Jenderal Achmad Yani,Middle,,,,Business Development di start up pendidikan (risk imrovement) -> 1 bulan,Pekerja,Middle,Karyawan Swasta,,Olahraga (basket) dan menulis,,"Tidak memiliki background digital marekting walaupun memang tertarik digital marekting jadi memang sudah follow dibimbing dari lama dan tau ada kesempatan ini jadi langsung gas join untuk bisa upgrade skill (ads, content organic) untuk memang growth career",Instagram,Instagram,"Portfolio building, ","Portfolio building, ",,Tertarik,Tidak,Tidak,Tidak,,
DM,4/Jan/2024,Jan 2024,Digital Marketing,JCJC+,4,Jan,2024,23,28,Pancoran (Jakarta Selatan),Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Jenderal Soedirman,Universitas Jenderal Soedirman (UNSOED),Middle,,,,Bekerja (Chord Agency semaam agency digital),Pekerja,Middle,Karyawan (Sales Marketing),-,"Travelling, naik Gunung dan Membaca",,ingin belajar seputar dunia digital / upgrade skill dan berkesinambungan dengan pekerjaan dan ingin belajar digital marketing supaya bisa diaplikasikan di perusahaan,Refferal dan Instagram,Instagram,Portofolio alumni dibimbing lebih padet isinya dan jelas,Portofolio alumni dibimbing lebih padet isinya dan jelas,,Tertarik,Tidak,Tidak,Tidak,,
DM,4/Jan/2024,Jan 2024,Digital Marketing,JCJC+,4,Jan,2024,23,26,Serang (Cirebon Jabar), Cirebon, Cirebon,Jawa Barat,Indonesia,Universitas Terbuka,Universitas Terbuka,Middle,,,,Bekerja,Pekerja,Middle,Karyawan bank BCA (teller),-,Badminton,,Ingin belajar bagaimana memasarkan sebuah produk melalui digital dan digital marketing memiliki prospek yang luas,Instagram Ads,Meta Ads,"Websitenya penjelasannya lengkap, testimoni dari alumi menarik, beneffitnya bagus dan dari segi harga affordable","Websitenya penjelasannya lengkap, testimoni dari alumi menarik, beneffitnya bagus dan dari segi harga affordable",,-,Tidak,Tidak,Tidak,,
